condition,run_count,error_count,token_count_mean,token_count_min,token_count_max,total_marker_score_mean,total_marker_score_min,total_marker_score_max,delta_p0_mean,delta_p0_min,delta_p0_max,cosine_similarity_mean,cosine_similarity_min,cosine_similarity_max,perplexity_mean,perplexity_min,perplexity_max
control,300,0,106.906667,70,138,0.01287,0.0,0.049587,0.0,-0.020726,0.02439,1.0,1.0,1.0,743.176944,495.231829,1159.356225
early,300,0,113.073333,69,141,0.010577,0.0,0.030612,-0.002293,-0.028805,0.018533,0.636399,0.407675,0.869406,1094.53017,579.698328,1767.491459
late,300,0,123.89,102,146,0.012865,0.0,0.042735,-4e-06,-0.028805,0.017165,0.696194,0.449054,0.935318,1061.141781,629.759624,1921.891756
mid,300,0,122.626667,95,146,0.012479,0.0,0.051282,-0.000391,-0.022596,0.023255,0.675628,0.44048,0.857834,1102.004247,626.973239,2053.310323
