condition,run_count,error_count,token_count_mean,token_count_min,token_count_max,total_marker_score_mean,total_marker_score_min,total_marker_score_max,delta_p0_mean,delta_p0_min,delta_p0_max,cosine_similarity_mean,cosine_similarity_min,cosine_similarity_max,perplexity_mean,perplexity_min,perplexity_max
control,48,0,94.020833,81,106,0.022198,0.009434,0.040816,0.0,-0.008234,0.009278,1.0,1.0,1.0,430.657701,338.73607,540.34155
early,48,0,95.395833,83,106,0.018377,0.0,0.034483,-0.003821,-0.031739,0.018118,0.635795,0.469867,0.817435,708.251565,474.757402,932.511172
late,48,0,97.020833,86,106,0.020458,0.0,0.041667,-0.001741,-0.015472,0.013654,0.707965,0.495432,0.880223,615.383812,462.058445,877.284743
mid,48,0,94.729167,83,106,0.018029,0.0,0.037736,-0.00417,-0.0211,0.010783,0.683362,0.487609,0.854152,642.660427,496.784523,848.446843
