prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
o088,0.004685,0.00597,0.00351,mid > early > late,0.001175,-0.001285
o089,0.008642,0.007638,0.010559,late > early > mid,-0.001917,0.001003
o090,0.013435,0.003857,0.003736,early > mid > late,0.009699,0.009579
o091,0.011526,0.011539,0.013894,late > mid > early,-0.002368,-1.3e-05
o092,0.011818,0.00899,0.006212,early > mid > late,0.005605,0.002828
o093,0.002689,0.003415,0.004571,late > mid > early,-0.001881,-0.000726
o094,0.018077,0.01977,0.006058,mid > early > late,0.012019,-0.001693
o095,0.021198,0.007511,0.007664,early > late > mid,0.013534,0.013687
o096,0.009237,0.012644,0.00786,mid > early > late,0.001376,-0.003408
o097,0.027993,0.013015,0.004034,early > mid > late,0.023959,0.014978
o098,0.014717,0.008019,0.008409,early > late > mid,0.006308,0.006698
o099,0.012342,0.006071,0.008159,early > late > mid,0.004184,0.006271
o100,0.010269,0.007668,0.006792,early > mid > late,0.003477,0.002601
