condition,run_count,error_count,token_count_mean,token_count_min,token_count_max,total_marker_score_mean,total_marker_score_min,total_marker_score_max,delta_p0_mean,delta_p0_min,delta_p0_max,cosine_similarity_mean,cosine_similarity_min,cosine_similarity_max,perplexity_mean,perplexity_min,perplexity_max
control,300,0,95.016667,62,123,0.022984,0.0,0.053763,-0.0,-0.015563,0.018868,1.0,1.0,1.0,764.507478,440.425907,1085.099833
early,300,0,104.683333,70,128,0.01349,0.0,0.04,-0.009495,-0.043873,0.016687,0.621769,0.424939,0.804442,1247.964081,768.098406,1993.59918
late,300,0,119.326667,92,135,0.018099,0.0,0.044248,-0.004885,-0.020287,0.02105,0.737432,0.449089,0.949967,1148.899146,717.03658,1763.809471
mid,300,0,118.513333,89,136,0.017327,0.0,0.044944,-0.005657,-0.027695,0.027273,0.702068,0.436158,0.865492,1185.53872,673.829321,1848.974566
