prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
s088,0.004392,0.005118,0.014881,late > mid > early,-0.010489,-0.000726
s089,0.001374,0.001687,0.000363,mid > early > late,0.001011,-0.000313
s090,0.009524,0.001114,0.009524,early > late > mid,0.0,0.00841
s091,0.001283,0.006905,0.000501,mid > early > late,0.000782,-0.005622
s092,0.012876,0.004831,0.005128,early > late > mid,0.007748,0.008045
s093,0.009683,0.008232,0.009173,early > late > mid,0.00051,0.001451
s094,0.001765,0.005779,0.002505,mid > late > early,-0.00074,-0.004014
s095,0.0,0.0,0.0,early > mid > late,0.0,0.0
s096,0.008929,0.016933,0.008929,mid > early > late,0.0,-0.008004
s097,0.000892,0.008332,0.008332,mid > late > early,-0.00744,-0.00744
s098,0.0084,0.001464,0.016393,late > early > mid,-0.007993,0.006936
s099,0.009747,0.000975,0.002125,early > late > mid,0.007622,0.008772
s100,0.03698,0.045455,0.011841,mid > early > late,0.025139,-0.008475
