prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
s088,0.005565,0.005826,0.001401,mid > early > late,0.004164,-0.000261
s089,0.005353,0.005632,0.005578,mid > late > early,-0.000225,-0.000279
s090,0.009077,0.003794,0.009537,late > early > mid,-0.00046,0.005283
s091,0.01494,0.009363,0.012095,early > late > mid,0.002845,0.005577
s092,0.01759,0.00345,0.000697,early > mid > late,0.016893,0.01414
s093,0.007252,0.012782,0.009344,mid > late > early,-0.002092,-0.00553
s094,0.003007,0.006691,0.003175,mid > late > early,-0.000168,-0.003683
s095,0.004839,0.010536,0.00303,mid > early > late,0.001809,-0.005697
s096,0.007856,0.006497,0.003658,early > mid > late,0.004198,0.001359
s097,0.009825,0.008419,0.002852,early > mid > late,0.006974,0.001407
s098,0.006465,0.006176,0.001445,early > mid > late,0.00502,0.000289
s099,0.014065,0.011764,0.012224,early > late > mid,0.001841,0.002301
s100,0.005797,0.011624,0.011749,late > mid > early,-0.005952,-0.005827
