condition,run_count,error_count,token_count_mean,token_count_min,token_count_max,total_marker_score_mean,total_marker_score_min,total_marker_score_max,delta_p0_mean,delta_p0_min,delta_p0_max,cosine_similarity_mean,cosine_similarity_min,cosine_similarity_max,perplexity_mean,perplexity_min,perplexity_max
control,300,0,105.833333,80,132,0.014155,0.0,0.043103,0.0,-0.017189,0.017544,1.0,1.0,1.0,1716.487489,1215.663511,2289.942342
early,300,0,104.446667,71,128,0.011712,0.0,0.039216,-0.002442,-0.030559,0.025215,0.383407,0.201633,0.557522,2948.881139,1936.784875,4238.618453
late,300,0,110.583333,89,140,0.010975,0.0,0.039604,-0.003179,-0.030113,0.023258,0.421751,0.170389,0.646083,2819.53911,1639.350073,4013.723291
mid,300,0,109.783333,92,126,0.010794,0.0,0.039216,-0.00336,-0.030744,0.023332,0.410614,0.217918,0.647799,2841.824777,1841.97585,4256.074449
