prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
s087,0.000762,0.006374,0.013309,late > mid > early,-0.012547,-0.005612
s088,0.002939,0.007225,0.007507,late > mid > early,-0.004568,-0.004285
s089,0.007468,0.006554,0.003256,early > mid > late,0.004212,0.000914
s090,0.006938,0.007403,0.004401,mid > early > late,0.002537,-0.000464
s091,0.013464,0.017294,0.008841,mid > early > late,0.004623,-0.00383
s092,0.006237,0.006772,0.006293,mid > late > early,-5.5e-05,-0.000534
s093,0.007333,0.002076,0.003001,early > late > mid,0.004331,0.005257
s094,0.003572,0.008606,0.000474,mid > early > late,0.003098,-0.005034
s095,0.007044,0.005918,0.003338,early > mid > late,0.003706,0.001126
s096,0.003562,0.011498,0.004956,mid > late > early,-0.001394,-0.007936
s097,0.006007,0.006222,0.00421,mid > early > late,0.001797,-0.000215
s098,0.008066,0.003935,0.003844,early > mid > late,0.004222,0.004131
s099,0.004521,0.007017,0.008009,late > mid > early,-0.003488,-0.002496
s100,0.003249,0.002316,0.004622,late > early > mid,-0.001373,0.000933
