condition,run_count,error_count,token_count_mean,token_count_min,token_count_max,total_marker_score_mean,total_marker_score_min,total_marker_score_max,delta_p0_mean,delta_p0_min,delta_p0_max,cosine_similarity_mean,cosine_similarity_min,cosine_similarity_max,perplexity_mean,perplexity_min,perplexity_max
control,300,0,97.526667,62,131,0.022516,0.0,0.04878,-0.0,-0.014319,0.016538,1.0,1.0,1.0,793.055032,524.108233,1066.117507
early,300,0,104.613333,71,142,0.019319,0.0,0.048193,-0.003198,-0.029539,0.023091,0.633223,0.338467,0.891879,1222.430259,621.592576,1894.733311
late,300,0,117.736667,94,144,0.021563,0.0,0.048544,-0.000954,-0.017104,0.034591,0.711684,0.292723,0.937177,1149.291979,602.423041,1775.489394
mid,300,0,116.493333,85,142,0.019389,0.0,0.049505,-0.003127,-0.022747,0.028595,0.68237,0.438489,0.879821,1194.593601,717.433499,1813.558586
