condition,run_count,error_count,token_count_mean,token_count_min,token_count_max,total_marker_score_mean,total_marker_score_min,total_marker_score_max,delta_p0_mean,delta_p0_min,delta_p0_max,cosine_similarity_mean,cosine_similarity_min,cosine_similarity_max,perplexity_mean,perplexity_min,perplexity_max
control,300,0,107.59,80,131,0.011858,0.0,0.037736,0.0,-0.017663,0.021946,1.0,1.0,1.0,1713.530013,1313.362305,2493.421279
early,300,0,104.66,78,127,0.01049,0.0,0.040404,-0.001368,-0.025428,0.020961,0.40556,0.2159,0.620345,2911.14552,2023.533831,4099.53281
late,300,0,111.88,91,130,0.009745,0.0,0.037383,-0.002113,-0.02607,0.025622,0.44949,0.242712,0.72756,2761.986729,1734.113934,4098.524593
mid,300,0,112.023333,81,136,0.010213,0.0,0.042735,-0.001645,-0.025171,0.025266,0.433512,0.226546,0.682459,2815.322119,1907.703315,3966.427706
