prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
o088,0.01342,0.011929,0.003923,early > mid > late,0.009497,0.00149
o089,0.003859,0.000399,0.000102,early > mid > late,0.003757,0.00346
o090,0.005723,0.008285,0.006087,mid > late > early,-0.000364,-0.002562
o091,0.006125,0.006983,0.011152,late > mid > early,-0.005027,-0.000858
o092,0.010193,0.008072,0.004513,early > mid > late,0.00568,0.002121
o093,0.005571,0.005025,0.006286,late > early > mid,-0.000714,0.000546
o094,0.007665,0.000503,0.00334,early > late > mid,0.004325,0.007162
o095,0.006115,0.011724,0.005277,mid > early > late,0.000838,-0.005609
o096,0.008182,0.011031,0.011085,late > mid > early,-0.002903,-0.002849
o097,0.009467,0.017946,0.003613,mid > early > late,0.005855,-0.008479
o098,0.006659,0.00705,0.005338,mid > early > late,0.001321,-0.000391
o099,0.007023,0.008766,0.007884,mid > late > early,-0.000861,-0.001743
o100,0.006533,0.00361,0.006618,late > early > mid,-8.5e-05,0.002923
